Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Threads,Failed
"bn-human-Jung2015_M87117515",8,1,438487,0.03,0.029996,0.246,447180,96,0
"bn-human-Jung2015_M87117515",91,1,3601705,0.03,0.029904,1.739,2037056,96,0
"bn-human-Jung2015_M87117515",1000,2,12944212,0.03,0.029148,6.329,2979412,96,0
"bn-human-Jung2015_M87117515",128,2,4521913,0.03,0.029859,1.814,2176392,96,0
"bn-human-Jung2015_M87117515",37,2,2115221,0.03,0.029962,1.615,1638340,96,0
"bn-human-Jung2015_M87117515",64,2,3064677,0.03,0.029931,1.5,1787856,96,0
"bn-human-Jung2015_M87117515",8,2,387759,0.03,0.029996,0.227,444712,96,0
"bn-human-Jung2015_M87117515",91,2,3836976,0.03,0.029904,1.738,2071384,96,0
"bn-human-Jung2015_M87117515",1000,3,12915865,0.03,0.029148,5.417,2959404,96,0
"bn-human-Jung2015_M87117515",128,3,4580032,0.03,0.029859,1.884,2192372,96,0
"bn-human-Jung2015_M87117515",37,3,2148940,0.03,0.029962,1.635,1559192,96,0
"bn-human-Jung2015_M87117515",64,3,2824776,0.03,0.029931,1.535,1842896,96,0
"bn-human-Jung2015_M87117515",8,3,431941,0.03,0.029996,0.235,451968,96,0
"bn-human-Jung2015_M87117515",91,3,3738498,0.03,0.029904,1.751,2022052,96,0
"bn-human-Jung2015_M87117515",1000,4,12955548,0.03,0.029148,6.379,2982264,96,0
"bn-human-Jung2015_M87117515",128,4,4587406,0.03,0.029859,2.036,2192484,96,0
"bn-human-Jung2015_M87117515",37,4,2307365,0.03,0.029962,1.69,1399712,96,0
"bn-human-Jung2015_M87117515",64,4,3101289,0.03,0.029931,1.468,1853396,96,0
"bn-human-Jung2015_M87117515",8,4,419801,0.03,0.029996,0.245,447448,96,0
"bn-human-Jung2015_M87117515",91,4,3650382,0.03,0.029904,1.589,1976280,96,0
"bn-human-Jung2015_M87117515",1000,5,12928773,0.03,0.029148,6.203,2952144,96,0
"bn-human-Jung2015_M87117515",128,5,4579087,0.03,0.029859,1.838,2143560,96,0
"bn-human-Jung2015_M87117515",37,5,2168157,0.03,0.029962,1.574,1535768,96,0
"bn-human-Jung2015_M87117515",64,5,2926524,0.03,0.029931,1.446,1874932,96,0
"bn-human-Jung2015_M87117515",8,5,419229,0.03,0.029996,0.233,435292,96,0
"bn-human-Jung2015_M87117515",91,5,3625467,0.03,0.029904,1.723,2092664,96,0
"bn-human-Jung2015_M87122310",1000,1,36078765,0.03,0.029189,10.243,4894780,96,0
"bn-human-Jung2015_M87122310",128,1,11765007,0.03,0.029913,2.985,3523252,96,0
"bn-human-Jung2015_M87122310",37,1,4562438,0.03,0.029983,3.774,2939360,96,0
"bn-human-Jung2015_M87122310",64,1,7147660,0.03,0.029982,3.723,3661148,96,0
"bn-human-Jung2015_M87122310",8,1,1263687,0.03,0.029999,1.829,1349132,96,0
"bn-human-Jung2015_M87122310",91,1,9410106,0.03,0.02993,2.827,3305128,96,0
"bn-human-Jung2015_M87122310",1000,2,36033917,0.03,0.029189,10.581,4938108,96,0
"bn-human-Jung2015_M87122310",128,2,11861636,0.03,0.029913,2.864,3435724,96,0
"bn-human-Jung2015_M87122310",37,2,4666802,0.03,0.029983,3.801,3089496,96,0
"bn-human-Jung2015_M87122310",64,2,7474767,0.03,0.029982,3.587,3634860,96,0
"bn-human-Jung2015_M87122310",8,2,1159951,0.03,0.029999,1.718,1343648,96,0
"bn-human-Jung2015_M87122310",91,2,9595753,0.03,0.02993,2.93,3263432,96,0
"bn-human-Jung2015_M87122310",1000,3,35987138,0.03,0.029189,11.707,4902472,96,0
"bn-human-Jung2015_M87122310",128,3,11619560,0.03,0.029913,3.076,3544240,96,0
"bn-human-Jung2015_M87122310",37,3,4740945,0.03,0.029983,3.695,3071764,96,0
"bn-human-Jung2015_M87122310",64,3,7177741,0.03,0.029982,3.4,3665616,96,0
"bn-human-Jung2015_M87122310",8,3,1332115,0.03,0.029999,1.753,1363568,96,0
"bn-human-Jung2015_M87122310",91,3,9526373,0.03,0.02993,2.648,3340028,96,0
"bn-human-Jung2015_M87122310",1000,4,36143312,0.03,0.029189,9.716,4888616,96,0
"bn-human-Jung2015_M87122310",128,4,11694905,0.03,0.029913,2.784,3426812,96,0
"bn-human-Jung2015_M87122310",37,4,4631304,0.03,0.029983,3.615,2916280,96,0
"bn-human-Jung2015_M87122310",64,4,7136190,0.03,0.029982,3.781,3541816,96,0
"bn-human-Jung2015_M87122310",8,4,1301066,0.03,0.029999,1.747,1365780,96,0
"bn-human-Jung2015_M87122310",91,4,9664951,0.03,0.02993,2.934,3391952,96,0
"bn-human-Jung2015_M87122310",1000,5,36085115,0.03,0.029189,10.211,4863088,96,0
"bn-human-Jung2015_M87122310",128,5,11549142,0.03,0.029913,2.826,3472284,96,0
"bn-human-Jung2015_M87122310",37,5,4630414,0.03,0.029983,3.731,2902808,96,0
"bn-human-Jung2015_M87122310",64,5,7182504,0.03,0.029982,3.68,3589884,96,0
"bn-human-Jung2015_M87122310",8,5,1236986,0.03,0.029999,1.612,1354404,96,0
"bn-human-Jung2015_M87122310",91,5,9419665,0.03,0.02993,2.694,3419164,96,0
"bn-human-Jung2015_M87123142",1000,1,19110183,0.03,0.029516,5.415,3043408,96,0
"bn-human-Jung2015_M87123142",128,1,7416307,0.03,0.029937,1.663,1976192,96,0
"bn-human-Jung2015_M87123142",37,1,3391504,0.03,0.029982,1.714,1647712,96,0
"bn-human-Jung2015_M87123142",64,1,4890629,0.03,0.029937,1.605,1954368,96,0
"bn-human-Jung2015_M87123142",8,1,818209,0.03,0.029995,0.266,464636,96,0
"bn-human-Jung2015_M87123142",91,1,5998809,0.03,0.02999,2.03,2214944,96,0
"bn-human-Jung2015_M87123142",1000,2,19083675,0.03,0.029516,6.133,3068484,96,0
"bn-human-Jung2015_M87123142",128,2,7209727,0.03,0.029937,1.52,1917100,96,0
"bn-human-Jung2015_M87123142",37,2,3226216,0.03,0.029982,1.812,1558696,96,0
"bn-human-Jung2015_M87123142",64,2,4964998,0.03,0.029937,1.898,1920896,96,0
"bn-human-Jung2015_M87123142",8,2,761132,0.03,0.029995,0.327,467088,96,0
"bn-human-Jung2015_M87123142",91,2,5892410,0.03,0.02999,2.007,2203836,96,0
"bn-human-Jung2015_M87123142",1000,3,19164997,0.03,0.029516,5.041,3094420,96,0
"bn-human-Jung2015_M87123142",128,3,7159683,0.03,0.029937,1.523,1902044,96,0
"bn-human-Jung2015_M87123142",37,3,3694663,0.03,0.029982,2.002,1664420,96,0
"bn-human-Jung2015_M87123142",64,3,4743552,0.03,0.029937,1.757,1886620,96,0
"bn-human-Jung2015_M87123142",8,3,788269,0.03,0.029995,0.252,467732,96,0
